trial	learning_rate	num_train_epochs	per_device_train_batch_size	runtime	loss	hamming_loss	accuracy	f1_micro	f1_macro	f1_weighted	class_f1_scores [HOTEL ZIMMER LAGE ESSEN&TRINKEN SERVICE]
0	2.87E-05	4	4	9.546.290.919.780.730	0.172087684	0.053880836	0.811934366	0.889843819	0.894330075	0.889318071	[0.8314582812634624, 0.9045980670341562, 0.9030227208612263, 0.9144113237121474, 0.9181599845229672]
1	2.01E-05	3	8	40.182.792.043.685.900	0.161401447	0.056231521	0.800886933	0.883801812	0.889196101	0.883360161	[0.8166634680117555, 0.9017109724418197, 0.8982596371882086, 0.9149909468582393, 0.9143554829687857]
2	3.46E-05	3	16	25.620.422.291.755.600	0.163289614	0.056465953	0.798538414	0.882829753	0.888294954	0.882119339	[0.8134297495552458, 0.8981604352298515, 0.90095319899095, 0.9152575490450152, 0.9136738374632329]
3	2.50E-05	3	8	4.023.920.114.040.370	0.161220454	0.055761066	0.801592484	0.884739866	0.889844177	0.884208596	[0.8171576832429875, 0.9059416960172926, 0.8976625328165518, 0.9152837684528845, 0.9131752068130414]
4	3.21E-05	3	8	4.035.234.696.865.080	0.161397263	0.05486812	0.805353429	0.887394333	0.892847149	0.886870286	[0.8189956182759883, 0.9032666982865544, 0.9089559168916099, 0.9167745872599212, 0.9162429245357662]
5	3.15E-05	3	4	7.132.822.604.179.380	0.164500508	0.054585723	0.807705264	0.888707894	0.893545347	0.888393733	[0.8273274244808491, 0.9053355843907561, 0.9057187324339386, 0.9121837435747209, 0.917161251335811]
6	3.48E-05	2	8	27.615.166.902.542.100	0.167506527	0.058534064	0.791722957	0.878548559	0.884129903	0.87801708	[0.8048775641956876, 0.9019365804422914, 0.895362823967387, 0.910371724410463, 0.9081008241999698]
7	2.94E-05	3	8	40.306.254.386.901.800	0.159368403	0.056654498	0.8013573	0.883326478	0.888058532	0.882660759	[0.816915792388543, 0.9036627159566728, 0.8983300343919813, 0.9128743011569134, 0.9085098182408309]
8	2.51E-05	3	8	40.535.404.920.578.000	0.160760757	0.056090721	0.80065175	0.884736605	0.889571795	0.884334285	[0.8223288514700912, 0.904411700107457, 0.8950432471844518, 0.9148411594522934, 0.9112340188269851]
9	2.79E-05	2	16	1.784.812.273.979.180	0.187431842	0.063283886	0.772913145	0.866454134	0.872866147	0.865063945	[0.7800466063807419, 0.8880267351678954, 0.8845067049046029, 0.9115788862671855, 0.9001718037083372]
10	4.37E-05	4	4	9.437.135.348.320.000	0.277577743	0.103129089	0.603995068	0.663723328	0.667108864	0.663664457	[0.6247180194548616, 0.6728696706872155, 0.6715042549641248, 0.6860145258541933, 0.6804378481691258]
11	4.02E-05	4	4	9.459.978.339.672.080	0.178860974	0.05406885	0.810759996	0.890067266	0.894548146	0.889951754	[0.8360508013398908, 0.9055455142020251, 0.9008601394997025, 0.9146016906564138, 0.9156825822121683]
12	4.37E-05	4	4	9.475.307.273.864.740	0.276400242	0.102235834	0.603053229	0.665647607	0.66944271	0.665687148	[0.623066203100391, 0.6751484501345996, 0.6752262638483991, 0.6893229294412384, 0.6844497023202145]
13	3.79E-05	4	4	9.476.003.012.657.160	0.17942081	0.05477387	0.808409046	0.888593091	0.893344018	0.888296032	[0.8310064935064936, 0.9026971997076644, 0.9028283415299018, 0.9141551416188346, 0.9160329115873703]
14	4.72E-05	4	4	9.507.335.410.118.100	0.180883188	0.054632849	0.812171097	0.88907483	0.894075594	0.889003983	[0.8336622602753689, 0.9003621756606595, 0.9058867099665844, 0.914871712311017, 0.9155951142032298]
15	3.90E-05	4	4	9.604.802.272.319.790	0.180414289	0.053880438	0.811701614	0.890792861	0.895327674	0.890680595	[0.8385931872106122, 0.9042902548083337, 0.9017549751188811, 0.9163171352396507, 0.9156828173458222]
16	4.94E-05	4	4	9.710.240.025.520.320	0.183549915	0.054209474	0.808645556	0.890166098	0.894865375	0.890180941	[0.8371240726798924, 0.9029810990850193, 0.9053574870081053, 0.9139406792333099, 0.9149235389566529]
17	3.81E-05	4	16	3.575.863.587.856.290	0.161518846	0.055479023	0.805120014	0.886301477	0.891418829	0.885903843	[0.8226261278765071, 0.9012698616646091, 0.905593310763707, 0.9151008543666916, 0.9125039892128308]
18	3.54E-05	4	4	9.726.518.199.443.810	0.178668711	0.054256599	0.811700067	0.889645688	0.894293189	0.889443617	[0.8308651881704268, 0.9058620462129944, 0.905807830312585, 0.9102032218129607, 0.9187276586128207]
19	4.16E-05	2	4	5.078.396.906.852.720	0.160469584	0.05613736	0.802296929	0.88430228	0.889471517	0.883675464	[0.8146638807259688, 0.903783864498258, 0.9025304831333518, 0.9131666499207676, 0.9132127046885321]
